"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"ESP8266_THING";1;"ESP8266_THING";;;
2;"REF**";"MountingHole_4.3mm_M4";1;"MountingHole_4.3mm_M4";;;
3;"U7";"HTU21D";1;"HTU21D";;;
4;"R3,R1,R2,R4";"R_1206_HandSoldering";4;"R";;;
5;"C1,C2,C3,C4,C5,C6";"C_1206_HandSoldering";6;"C";;;
6;"D1";"SMB_Handsoldering";1;"DIODE";;;
7;"P1";"PINHEAD1-2";1;"CONN_buzz";;;
8;"Q1";"TO-92_Inline_Wide";1;"NPN";;;
9;"U5";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"NVSRAM";;;
10;"U6";"BMP180";1;"BMP180";;;
11;"P2";"PINHEAD1-3";1;"CONN_01X03";;;
12;"P3";"Pin_Header_Straight_1x04";1;"CONN_01X04";;;
13;"C7";"Elko_vert_11.2x6.3mm_RM2.5";1;"CP";;;
14;"S2";"GS2";1;"S2";;;
15;"P_I2CGPS1";"Pin_Header_Angled_1x05";1;"CONN_01X05";;;
16;"A_MPU1,A_NV1";"GS3";2;"GS_A0";;;
17;"A_NV2";"GS3";1;"GS_A1";;;
18;"A_NV3";"GS3";1;"GS_A2";;;
19;"S1";"GS2";1;"S1";;;
20;"U4";"MPU6050_angled";1;"MPU6050";;;
21;"";"adem_logo";1;"";;;
22;"";"adem_logo-txt_17_B_silk";1;"";;;
23;"5V1";"PINHEAD1-2";1;"5V";;;
24;"D2,D3";"D_1206";2;"1V8";;;
25;"R5,R6";"R_1206_HandSoldering";2;"10K";;;
26;"P_SENS1";"Pin_Header_Straight_1x05_Pitch2.54mm";1;"CONN_01X05";;;
27;"VCC_SEL1";"GS3";1;"GS_VCC";;;
